"","fips","county_name","state_name","type","relative_mobility","absolute_upward_mobility","top1pc_share","gini","hhinc_mean2000","mean_commutetime2000","frac_coll_plus2000","foreign_share2010","med_hhinc1990","poor_share2000","share_black2000","share_white2000","share_hisp2000","share_asian2000","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2000","traveltime15_2010","emp2000","mail_return_rate2010","ln_wage_growth_hs_grad","nonwhite_share2010","popdensity2000","ann_avg_job_growth_2004_2013","job_density_2013","stay_cz","leave_cz"
"782",18175,"Washington","Indiana","metro",0.395,41.4,0.074,0.32,64096.047,30.058849,0.10215586,0.0062380834,23654.7607836662,0.10587781,0.0017606514,0.98254389,0.0074070203,0.0013161243,4.5340409,609.98779,0.23145017,0.27992439,0.63241476,83.841141,0.068928584,0.025582056,53.001503,-0.0094415108,23.34712,0.7439,0.2561
"783",18177,"Wayne","Indiana","micro",0.379,37.4,0.124,0.432,63493.383,19.573925,0.1369231,0.019668896,24627.3724389971,0.11050977,0.05531083,0.91720492,0.013181798,0.0048444117,3.7670994,657.39752,0.30336338,0.49146307,0.60643309,82.675636,0.0081815124,0.11020502,176.97223,-0.011558494,69.415367,0.5751,0.4249
"784",18179,"Wells","Indiana","metro",0.324,45.6,0.085,0.282,73555.469,22.008387,0.14212498,0.011221729,31650.6431388225,0.060404856,0.0033391202,0.97374707,0.014627974,0.0020564632,4.0453901,594.24475,0.20512927,0.37687999,0.67707068,86.174355,0.10538095,0.037342593,74.982269,-0.010468449,34.730919,0.6694,0.3306
"785",18181,"White","Indiana","rural",0.268,45.7,0.049,0.281,67531.289,23.505695,0.10442781,0.045704614,26684.3572230977,0.069816992,0.0020538669,0.93424386,0.052443504,0.0025947811,4.5221605,667.44843,0.23766944,0.38472685,0.64962107,85.390472,0.077069402,0.088179186,50.021381,0.005694529,23.841671,0.5745,0.4255
"786",18183,"Whitley","Indiana","metro",0.311,44.9,0.069,0.25,77323.977,24.477049,0.13307849,0.0090574808,31471.4982480337,0.048820015,0.0029242628,0.97810334,0.0090249134,0.0016301428,4.2495461,651.75067,0.2211452,0.29542479,0.69617873,84.87352,0.045527764,0.034392651,91.506989,-0.00620995,46.458267,0.6879,0.3121
"787",19001,"Adair","Iowa","rural",0.148,54.3,0.183,0.397,59634.73,21.483311,0.11182144,0.0048265266,21523.5808383233,0.076450251,0.0013426279,0.98440111,0.0070679304,0.00144959,2.9751222,521.06628,0.21194328,0.45072114,0.63797867,86.180199,0.13039951,0.022780526,14.479947,-0.0058344076,6.8543921,0.6401,0.3599
"788",19003,"Adams","Iowa","rural",NA,NA,NA,NA,53924.012,20.078871,0.11995528,0.0033362238,20431.4333878731,0.092897698,0.00066929223,0.98482668,0.0058012898,0.0017846628,2.8323641,500.61578,0.18787193,0.53040171,0.63152444,85.713531,0.17648324,0.026557464,10.58476,0.0049464032,4.8932672,0.4218,0.5782
"789",19005,"Allamakee","Iowa","rural",0.186,55.3,0.059,0.278,60035.504,19.836954,0.14359462,0.046983615,20960.8619678995,0.09485767,0.0023777173,0.95345759,0.034813404,0.0019470712,3.5109591,587.59021,0.19509707,0.48398355,0.63623041,86.557755,0.1315084,0.070132606,22.96266,-0.0042183101,11.21767,0.4673,0.5327
"790",19007,"Appanoose","Iowa","rural",0.28,48.3,0.099,0.35,50320.055,20.746334,0.12216278,0.0065264823,17982.3529137891,0.14570247,0.0051376857,0.9753325,0.0097707277,0.0026465061,3.6155267,565.14587,0.27870223,0.54767436,0.54168451,82.072411,-0.02152741,0.032358192,27.591434,-0.01017332,11.160445,0.5031,0.4969
"791",19009,"Audubon","Iowa","rural",0.355,55.6,0.069,0.333,59929.117,19.193436,0.12260392,0.0064412341,21609.0325216539,0.077071093,0.0025328773,0.98722297,0.0047971453,0.0026292396,3.7921131,513.89368,0.18605436,0.51691049,0.60703325,87.343193,NA,0.018303655,15.41893,-0.0041686222,6.9531927,0.363,0.637
